Course_id,Course_name,Description
DATA200,Data Science,Provides insight about DS and Python
CS101,Computer Science,Basics of programming and algorithms
MATH150,Calculus,Fundamentals of differential and integral calculus
STAT210,Statistics,Concepts of probability and statistical inference
AI300,Artificial Intelligence,Introduction to machine learning and AI models
ML250,Machine Learning,Supervised and unsupervised learning techniques
BIO110,Biology,Study of living organisms and ecosystems
CHEM101,Chemistry,Fundamentals of chemical reactions and properties
PHYS200,Physics,"Concepts of motion, energy, and forces"
ECON220,Economics,Principles of microeconomics and macroeconomics
